FG Threshold,mean iou,mean_precision,mean_recall,mean_accuracy
0.62,0.74,0.76,0.85,0.76
0.62,0.74,0.76,0.85,0.76
0.63,0.74,0.76,0.85,0.76
0.63,0.74,0.76,0.85,0.76
0.64,0.74,0.76,0.85,0.76
0.64,0.74,0.76,0.85,0.76
0.64,0.74,0.76,0.85,0.76
0.65,0.74,0.76,0.85,0.76
0.65,0.74,0.76,0.85,0.76
0.65,0.74,0.76,0.85,0.76
0.66,0.74,0.76,0.85,0.76
0.66,0.74,0.76,0.85,0.76
0.67,0.74,0.76,0.85,0.76
0.67,0.74,0.76,0.85,0.76
0.67,0.74,0.76,0.85,0.76
0.68,0.74,0.76,0.85,0.76
0.68,0.74,0.76,0.85,0.76
0.69,0.74,0.76,0.85,0.76
0.69,0.74,0.76,0.85,0.76
0.69,0.74,0.76,0.85,0.76
0.70,0.74,0.76,0.85,0.76
0.70,0.74,0.76,0.85,0.76
0.71,0.74,0.76,0.85,0.76
0.71,0.74,0.76,0.85,0.76
0.71,0.74,0.76,0.85,0.76
0.72,0.74,0.76,0.85,0.76
0.72,0.74,0.76,0.85,0.76
0.73,0.74,0.76,0.85,0.76
0.73,0.74,0.76,0.85,0.76
0.73,0.74,0.76,0.85,0.76
0.74,0.74,0.76,0.85,0.76
0.74,0.74,0.76,0.85,0.76
0.75,0.74,0.76,0.85,0.76
0.75,0.74,0.76,0.85,0.76
0.75,0.74,0.76,0.85,0.76
0.76,0.74,0.76,0.85,0.76
0.76,0.74,0.76,0.85,0.76
0.76,0.74,0.76,0.85,0.76
0.77,0.74,0.76,0.85,0.76
0.77,0.74,0.76,0.85,0.76
0.78,0.74,0.76,0.85,0.76
0.78,0.74,0.76,0.85,0.76
0.78,0.74,0.76,0.85,0.76
0.79,0.74,0.76,0.85,0.76
0.79,0.74,0.76,0.85,0.76
0.80,0.74,0.76,0.85,0.76
0.80,0.74,0.76,0.85,0.76
0.80,0.74,0.76,0.85,0.76
0.81,0.74,0.76,0.85,0.76
0.81,0.74,0.76,0.85,0.76
0.82,0.74,0.76,0.85,0.76
0.82,0.74,0.76,0.85,0.76
0.82,0.74,0.76,0.85,0.76
0.83,0.74,0.76,0.85,0.76
0.83,0.74,0.76,0.85,0.76
